# Accuracy of increasingly large subsets of features discovered by forward selection
Feature Set,Accuracy (%)
{},81.8
{2},81.6
"{2,4}",97.8
"{2,4,5}",95.19999999999999
"{2,4,5,6}",91.4
"{2,4,5,6,1}",88.0
"{2,4,5,6,1,3}",87.4
